Country Name,Country Code,Series,Series Code,2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,9292896,..
Albania,ALB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,302886,..
Algeria,DZA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,7410377,7766182
American Samoa,ASM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Andorra,AND,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Angola,AGO,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,5698765,..
Antigua and Barbuda,ATG,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,15266,..
Arab World,ARB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,75487395,..
Argentina,ARG,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,10149507,..
Armenia,ARM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,456040,464516
Aruba,ABW,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,17120,..
Australia,AUS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,3178083,..
Austria,AUT,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1105229,1111192
Azerbaijan,AZE,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1467214,..
"Bahamas, The",BHS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,73676,..
Bahrain,BHR,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,172196,..
Bangladesh,BGD,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,14799931,..
Barbados,BRB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,38445,..
Belarus,BLR,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,909574,..
Belgium,BEL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1566956,1581376
Belize,BLZ,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,60941,..
Benin,BEN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1868668,..
Bermuda,BMU,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,8629,..
Bhutan,BTN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Bolivia,BOL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,3262376,..
Bosnia and Herzegovina,BIH,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Botswana,BWA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Brazil,BRA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
British Virgin Islands,VGB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,4520,..
Brunei Darussalam,BRN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,58238,..
Bulgaria,BGR,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,778793,..
Burkina Faso,BFA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,5374006,..
Burundi,BDI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Cabo Verde,CPV,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,102544,..
Cambodia,KHM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Cameroon,CMR,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,4160744,..
Canada,CAN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,3913933,..
Caribbean small states,CSS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,828240,..
Cayman Islands,CYM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,9571,..
Central African Republic,CAF,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1319233,..
Central Europe and the Baltics,CEB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,10625186,..
Chad,TCD,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,4340325,..
Channel Islands,CHI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Chile,CHL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,2999836,..
China,CHN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,151895252,..
Colombia,COL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,9347677,..
Comoros,COM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,127539,..
"Congo, Dem. Rep.",COD,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,14684467,..
"Congo, Rep.",COG,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1344817,..
Costa Rica,CRI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,927737,..
Cote d'Ivoire,CIV,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,6397517,..
Croatia,HRV,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,332091,..
Cuba,CUB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1103760,..
Curacao,CUW,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,29786,..
Cyprus,CYP,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,94574,..
Czech Republic,CZE,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1006443,1016221
Denmark,DNK,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,660025,653096
Djibouti,DJI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,180780,182277
Dominica,DMA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,10933,..
Dominican Republic,DOM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,2891577,..
Early-demographic dividend,EAR,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,557701842,..
East Asia & Pacific,EAS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,276673082,..
East Asia & Pacific (excluding high income),EAP,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,257830634,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,253606842,..
Ecuador,ECU,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,4724994,..
"Egypt, Arab Rep.",EGY,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,22986500,..
El Salvador,SLV,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1733151,..
Equatorial Guinea,GNQ,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,177351,..
Eritrea,ERI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,782541,..
Estonia,EST,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,130935,132886
Eswatini,SWZ,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,206194,..
Ethiopia,ETH,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,22148403,..
Euro area,EMU,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,40269461,..
Europe & Central Asia,ECS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,118512472,..
Europe & Central Asia (excluding high income),ECA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,57770785,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,64021706,..
European Union,EUU,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,59952575,..
Faroe Islands,FRO,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Fiji,FJI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Finland,FIN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,610313,613977
Fragile and conflict affected situations,FCS,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,133930356,..
France,FRA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,8333487,..
French Polynesia,PYF,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Gabon,GAB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,456449,..
"Gambia, The",GMB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,527074,..
Georgia,GEO,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,455380,468671
Germany,DEU,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,10021412,10063232
Ghana,GHA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,7887015,..
Gibraltar,GIB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,4536,..
Global Partnership for Education,FTI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,327835930,..
Greece,GRC,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1053685,1035787
Greenland,GRL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Grenada,GRD,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,20161,..
Guam,GUM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Guatemala,GTM,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,..,..
Guinea,GIN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,2052385,..
Guinea-Bissau,GNB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,439382,..
Guyana,GUY,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,85191,..
Haiti,HTI,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1469035,..
Heavily indebted poor countries (HIPC),HPC,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,147314016,..
High income,HIC,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,148575285,..
Honduras,HND,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,2443077,..
"Hong Kong SAR, China",HKG,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,499222,..
Hungary,HUN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1231981,1220884
IBRD only,IBD,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,703099583,..
Iceland,ISL,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,45442,45748
IDA & IBRD total,IBT,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,1018124337,..
IDA blend,IDB,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,134527022,..
IDA only,IDX,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,180497732,..
IDA total,IDA,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,316078505,..
India,IND,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,200480146,..
Indonesia,IDN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,41760251,..
"Iran, Islamic Rep.",IRN,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,11191293,..
Iraq,IRQ,"Population of compulsory school age, both sexes (number)",UIS.SAP.CE,5714784,..
