"country","numUsers","linesPer100","pop2021"
"Hong Kong","19207578","256.7000","7552.8100"
"Maldives","776716","245.9200","543.6170"
"United Arab Emirates","17132724","203.7000","9991.0890"
"Panama","6900000","202.5000","4381.5790"
"Montenegro","1117500","180.2300","628.0530"
"Sri Lanka","38849812","179.3000","21497.3100"
"Finland","9470000","172.6000","5548.3600"
"Saudi Arabia","46000000","169.5000","35340.6830"
"Lithuania","4940000","167.1000","2689.8620"
"Indonesia","385573398","162.2800","276361.7830"
"Russia","256116000","155.5000","145912.0250"
"Trinidad and Tobago","2060000","151.6000","1403.3750"
"Estonia","1904000","150.5000","1325.1850"
"Singapore","8106700","150.1000","5896.6860"
"Italy","88580000","147.4000","60367.4770"
"Sweden","14500000","146.4000","10160.1690"
"Bulgaria","10454400","145.2000","6896.6630"
"Malaysia","30379000","143.8000","32776.1940"
"Argentina","56725200","141.3400","45605.8260"
"Brazil","284200000","141.3000","213993.4370"
"Nepal","34172058","134.4100","29674.9200"
"Morocco","44450000","131","37344.7950"
"Germany","107000000","130.1000","83900.4730"
"Iran","96165000","130","85028.7590"
"Latvia","2579000","129.8000","1866.9420"
"United Kingdom","83100000","129.6000","68207.1160"
"Denmark","7000000","127.5000","5813.2980"
"Portugal","13400000","126.8700","10167.9250"
"Azerbaijan","7000000","126.2000","10223.3420"
"Ukraine","57505555","126","43466.8190"
"Ireland","5770638","125.9000","4982.9070"
"Poland","47153200","123.4800","37797.0050"
"Romania","26000000","123.4500","19127.7740"
"Taiwan","28610000","123.3300","23855.0100"
"Chile","21000000","122.9000","19212.3610"
"Israel","9701200","122.8000","8789.7740"
"Malta","554651","122.5700","442.7840"
"Netherlands","20000000","121.1000","17173.0990"
"Guatemala","17571895","119.4000","18249.8600"
"Colombia","57900472","118.9000","51265.8440"
"Spain","55740000","118","46745.2160"
"South Africa","59474500","117.6000","60041.9940"
"Mongolia","3500000","117.4000","3329.2890"
"Hungary","11561890","116.7000","9634.1640"
"Japan","146649600","115.2000","126050.8040"
"France","72180000","114.2000","65426.1790"
"China","1598360000","114.1700","1444216.1070"
"Philippines","106987098","113.8000","111046.9130"
"Belgium","11822000","113.6000","11632.3260"
"South Korea","56004887","111.5000","51305.1860"
"Ecuador","15900000","111.1800","17888.4750"
"New Zealand","4761000","111.1000","4860.6430"
"Peru","34235000","109.8000","33359.4180"
"Venezuela","32019086","106.1500","28704.9540"
"Thailand","69000000","105","69950.8500"
"Zimbabwe","13518887","103.5000","15092.1710"
"United States","327577529","103.1000","332915.0730"
"Jordan","6010000","101","10269.0210"
"Bangladesh","165615000","98.1800","166303.4980"
"Egypt","95340000","95.3800","104258.3270"
"Nigeria","167371945","94.5000","211400.7080"
"Algeria","33000000","94.2000","44616.6240"
"India","1281971713","93.1000","1393409.0380"
"Turkey","72200000","92.5000","85042.7380"
"Mexico","101339000","90.2000","130262.2160"
"Australia","20570000","87.6000","25788.2150"
"Canada","31210628","84.6000","38067.9030"
"Pakistan","165405847","79.6100","225199.9370"
"Vietnam","72300000","79","98168.8330"
"Kenya","28080000","71.3000","54985.6980"
"Lebanon","2720000","64.4000","6769.1460"
"Ethiopia","18000000","21.8000","117876.2270"
"North Korea","3000000","12.3000","25887.0410"
"Cuba","1300000","11.6000","11317.5050"
